memo,ID,lat,lng,type
A11,1,35.892483,128.609282,1
,2,35.892553,128.609361,1
,3,35.892623,128.60944,1
,4,35.892693,128.609519,1
,5,35.892763,128.609598,1
,6,35.892833,128.609677,1
,7,35.892903,128.609756,1
,8,35.892973,128.609835,1
,9,35.893043,128.609914,1
,10,35.893113,128.609993,1
,11,35.893183,128.610072,1
,12,35.893253,128.610151,1
,13,35.893323,128.61023,1
,14,35.893393,128.610309,1
,15,35.893463,128.610388,1
,16,35.893533,128.610467,1
,17,35.893603,128.610546,1
,18,35.893673,128.610625,1
,19,35.893743,128.610704,1
,20,35.893813,128.610783,1
,21,35.893883,128.610862,1
,22,35.893953,128.610941,1
,23,35.894023,128.61102,1
,24,35.894093,128.611099,1
,25,35.894163,128.611178,1
,26,35.894233,128.611257,1
,27,35.894303,128.611336,1
,28,35.894373,128.611415,1
,29,35.894443,128.611494,1
,30,35.894513,128.611573,1
,31,35.894583,128.611652,1
,32,35.894653,128.611731,1
,33,35.894723,128.61181,1
,34,35.894793,128.611889,1
,35,35.894863,128.611968,1
,36,35.894933,128.612047,1
,37,35.895003,128.612126,1
,38,35.895073,128.612205,1
,39,35.895143,128.612284,1
,40,35.895213,128.612363,1
,41,35.895283,128.612442,1
,42,35.895353,128.612521,1
,43,35.895423,128.6126,1
,44,35.895493,128.612679,1
,45,35.895563,128.612758,1
,46,35.895633,128.612837,1
,47,35.895703,128.612916,1
,48,35.895773,128.612995,1
,49,35.895843,128.613074,1
,50,35.895874,128.613061,1
A11/,51,35.892527,128.609233,1
,52,35.892597,128.609311,1
,53,35.892667,128.609389,1
,54,35.892737,128.609467,1
,55,35.892807,128.609545,1
,56,35.892877,128.609623,1
,57,35.892947,128.609701,1
,58,35.893017,128.609779,1
,59,35.893087,128.609857,1
,60,35.893157,128.609935,1
,61,35.893227,128.610013,1
,62,35.893297,128.610091,1
,63,35.893367,128.610169,1
,64,35.893437,128.610247,1
,65,35.893507,128.610325,1
